loan_id,applicant_name,pan_number,age,gender,city,state,education,employment_status,months_employed,annual_income_inr,annual_income_stated_inr,property_ownership,loan_id_duplicate,loan_amount_inr,loan_purpose,loan_grade,interest_rate,loan_term_months,application_date,credit_score,num_credit_lines,num_open_accounts,num_late_payments,dti_ratio,bankruptcies,loan_to_income_ratio,default_status,default_label
LN1000010,Sanjay Ghosh,YXKFS1751L,21,Male,Chandigarh,Punjab,12th Pass,Part-Time,79,448461,432337,Rented,LN1000010,347630,Vehicle Purchase,F,11.83,12,2023-10-17,612,14,11,1,30.68,0,0.7752,0,No Default
LN1000011,Omkar Hegde,SUJQU6501A,27,Male,Kolkata,West Bengal,Graduate,Salaried,152,190358,196107,Own,LN1000011,495129,Home Renovation,F,14.38,48,2024-02-25,612,8,3,3,41.47,0,2.601,1,Default
LN1000012,Kritika Yadav,BDLDG7260N,27,Female,Lucknow,Uttar Pradesh,12th Pass,Contract/Freelance,22,244997,211366,Parental Home,LN1000012,416535,Consumer Durables,E,13.51,24,2023-01-21,669,14,1,0,33.3,0,1.7002,0,No Default
LN1000013,Naresh Sharma,RRHPD8171D,25,MALE,Coimbatore,Tamil Nadu,Post-Graduate,Government Employee,,498424,593555,Rented,LN1000013,779124,Education Fees,G,14.78,60,2020-06-27,496,3,11,2,34.16,1,1.5632,1,Default
LN1000014,Pankaj Bhosale,UMPUV9341R,43,Male,Varanasi,Uttar Pradesh,Illiterate,Contract/Freelance,95,421915,465486,Parental Home,LN1000014,506511,Credit Card Payoff,G,14.49,48,2023-04-24,512,16,7,3,29.34,0,1.2005,1,Default
LN1000015,Vikas Malhotra,MFYIA6986E,33,Male,Nagpur,Maharashtra,10th Pass,,6,312551,324050,Mortgaged,LN1000015,-198210,Vehicle Purchase,F,14.09,72,2022-05-14,605,15,11,0,55.17,0,0.6342,1,Default
LN1000016,Jagdish Dubey,YUBSX6492B,32,Male,Noida,Uttar Pradesh,Graduate,Self-Employed,89,331538,402638,Parental Home,LN1000016,1664430,Vehicle Purchase,F,13.31,48,2020-03-06,568,7,12,2,24.01,0,5.0203,1,Default
LN1000017,Rekha Desai,CEBHU3707B,21,Female,Thane,Maharashtra,Graduate,Government Employee,18,671789,635991,Company Provided,LN1000017,414999,Vehicle Purchase,D,10.29,36,2020-03-02,675,15,3,2,23.9,2,0.6178,0,No Default
LN1000018,Radha Bajaj,ADQIX9273K,41,Female,Ludhiana,Punjab,12th Pass,Self-Employed,43,324287,398647,Rented,LN1000018,326720,VEHICLE PURCHASE,F,18.3,24,2020-07-10,577,13,7,2,,0,1.0075,1,Default
LN1000019,Arjun Patel,EKZHK8767D,22,Male,Patna,Bihar,12th Pass,Retired,37,419636,554461,Mortgaged,LN1000019,711227,  Credit Card Payoff  ,G,,48,2021-03-23,537,6,12,0,49.67,0,1.6949,1,Default
LN1000020,Radha Jain,DSZVC9454T,35,male,Indore,Madhya Pradesh,Graduate,Part-Time,52,1626534,1799224,Own,LN1000020,431324,Travel,B,8.55,24,2021-04-21,767,15,2,,0,0,0.2652,0,No Default
LN1000021,Mahesh Tiwari,JJARV9191N,37,Male,Vadodara,Gujarat,Diploma,Contract/Freelance,64,188299,199395,Company Provided,LN1000021,479001,Home Renovation,E,10.84,60,2022-10-31,631,17,4,3,26.52,2,2.5438,1,Default
LN1000022,Kartik Sinha,LBRAW5772V,48,Male,Varanasi,Uttar Pradesh,Graduate,Self-Employed,27,,162787,Mortgaged,LN1000022,2073044,,E,10.75,36,2023-05-17,655,4,2,2,7.82,1,13.8203,1,Default
LN1000023,Gayatri Nair,WNRQL7466E,21,Female,Noida,Uttar Pradesh,10th Pass,Government Employee,105,707967,602927,Company Provided,LN1000023,298765,Home Renovation,G,11.59,48,2020-02-24,536,14,4,0,20.74,0,0.422,0,No Default
LN1000024,Mukesh Hegde,VOZBQ1888C,21,Male,Agra,Uttar Pradesh,Illiterate,Self-Employed,79,294435,303424,Parental Home,LN1000024,289980,Home Renovation,F,8,48,2023-02-23,606,15,5,1,0,0,0.9849,0,No Default
LN1000025,Mohan Chaudhary,TIIHN5380O,36,Male,Kochi,Kerala,12th Pass,Salaried,73,365513,500279,Parental Home,LN1000025,393015,Debt Consolidation,E,9.98,36,2021-02-11,658,12,14,1,32.95,0,1.0752,0,No Default
LN1000026,Pallavi Malhotra,ULWLD4614R,53,MALE,Srinagar,Jammu & Kashmir,Illiterate,Retired,29,276870,381729,Own,LN1000026,766861,Medical Emergency,F,10.86,60,2024-01-06,557,19,8,1,17.87,0,2.7698,1,Default
LN1000027,Aakash Patel,OVUZQ8564K,47,Male,Bhopal,Madhya Pradesh,10th Pass,Part-Time,1,378556,406458,Company Provided,LN1000027,126175,Travel,D,13.07,36,2023-08-23,680,10,2,2,35.9,0,0.3333,0,No Default
LN1000028,Yogesh Singh,JBFLO6467D,37,Male,Gurgaon,Haryana,Professional Degree,Government Employee,32,1154436,1129382,Own,LN1000028,91501,Business Expansion,F,8.4,12,2023-12-07,601,6,10,1,,0,0.0793,0,No Default
LN1000029,Vikas Nair,CRAJQ7531F,30,Male,Delhi,Delhi,,Part-Time,109,715886,869319,Rented,LN1000029,240150,Medical Emergency,E,12.02,84,2023-01-21,626,9,3,1,36.24,0,0.3355,0,No Default
LN1000030,Puja Oberoi,MVTKG1182Z,43,Female,Varanasi,Uttar Pradesh,Illiterate,Unemployed,,742170,782715,Rented,LN1000030,115410,Education Fees,F,11.52,36,2022-05-09,,2,10,2,28.78,0,0.1555,0,No Default
LN1000031,Anil Doshi,EITBQ6184S,25,Male,Pune,Maharashtra,Graduate,Retired,194,189143,227342,Rented,LN1000031,269040,Debt Consolidation,A,12.78,60,2021-03-27,798,4,12,0,57.53,1,1.4224,0,No Default
LN1000032,Rajesh Srinivasan,YDMNB9845F,39,Male,Rajkot,Gujarat,Diploma,Contract/Freelance,79,221750,210339,Mortgaged,LN1000032,514911,Business Expansion,E,14.05,36,2022-07-08,648,9,13,1,56.17,0,2.322,1,Default
LN1000033,Bhavya Chopra,REVCR6384T,40,Female,Bhubaneswar,Odisha,Graduate,Self-Employed,59,150000,165877,Mortgaged,LN1000033,194167,Business Expansion,F,16.97,60,2023-04-21,565,15,5,1,46.78,0,1.2944,1,Default
LN1000034,Bhavna Bansal,XTHZZ4147X,45,Female,Surat,Gujarat,Professional Degree,Contract/Freelance,54,272221,273805,Mortgaged,LN1000034,133415,  Vehicle Purchase  ,C,12.68,24,2021-07-23,715,13,11,2,30.1,0,0.4901,0,No Default
LN1000035,Aakash Dixit,NVOIT5227V,62,Male,Vadodara,Gujarat,Professional Degree,Contract/Freelance,42,785457,831923,Own,LN1000035,380231,Consumer Durables,F,15.47,48,2024-07-15,552,8,12,0,64.78,0,0.4841,1,Default
LN1000036,Kartik Srinivasan,IRZQY5631L,38,Male,Gurgaon,Haryana,Illiterate,Salaried,61,603298,587843,Company Provided,LN1000036,662503,Business Expansion,E,9.64,36,2024-11-15,666,19,12,3,11.7,0,1.0981,0,No Default
LN1000037,Mahesh Banerjee,OPYSR8584A,29,Male,Chandigarh,Punjab,Illiterate,Contract/Freelance,26,387353,402482,Own,LN1000037,110582,Travel,G,10.53,36,2020-01-14,493,19,9,2,,0,0.2855,1,Default
LN1000038,Chetan Mehta,NADRF7122B,34,Male,Amritsar,Punjab,Professional Degree,Part-Time,89,436533,482556,Own,LN1000038,643168,Debt Consolidation,G,13.24,84,2024-04-03,543,16,10,1,33.74,0,1.4734,1,Default
LN1000039,Gita Tripathi,RHTAV1878X,21,Female,Bhopal,Madhya Pradesh,12th Pass,Retired,57,292631,340729,Parental Home,LN1000039,641852,Medical Emergency,E,18.93,24,2024-07-08,665,11,11,2,68.81,0,2.1934,1,Default
LN1000040,Suresh Bhat,QKNUS6034Z,28,Male,Jodhpur,Rajasthan,Illiterate,Salaried,70,500246,518211,Own,LN1000040,706345,Wedding Expenses,D,12.7,60,2020-11-22,709,10,5,1,31.96,0,1.412,1,Default
LN1000041,Jitendra Doshi,ZIOAG6788U,30,Male,Raipur,Chhattisgarh,Graduate,Self-Employed,75,700484,894884,Own,LN1000041,849952,Medical Emergency,E,11.6,36,2023-11-30,663,8,14,0,32.25,2,1.2134,1,Default
LN1000042,Shreya Bansal,SQTOP7921V,29,Female,Bhubaneswar,Odisha,Diploma,Salaried,4,167789,145469,Rented,LN1000042,1691979,Agriculture,E,8.98,36,2022-05-15,,1,9,0,13.37,0,10.084,1,Default
LN1000043,Bharat Chopra,BZTDB2218A,36,Male,Chennai,Tamil Nadu,10th Pass,Part-Time,,529553,442478,Mortgaged,LN1000043,282302,Consumer Durables,E,15.05,36,2021-11-27,625,10,4,1,49.19,1,0.5331,1,Default
LN1000044,Isha Gupta,ISEDI0966P,26,Female,Varanasi,Uttar Pradesh,12th Pass,Government Employee,77,774103,751626,Company Provided,LN1000044,391092,Education Fees,G,15.73,36,2021-07-23,531,18,10,1,49.3,1,0.5052,1,Default
LN1000045,Deepak Dubey,UOBSN9571R,46,Male,Pune,Maharashtra,Illiterate,Self-Employed,14,344875,366120,Parental Home,LN1000045,270626,Personal Use,F,16.17,36,2020-11-14,592,3,5,3,46.84,0,0.7847,1,Default
LN1000046,Aakash Singh,NCFFI3275R,35,Male,Nashik,Maharashtra,Graduate,Unemployed,41,,878106,Parental Home,LN1000046,362719,Consumer Durables,F,13.06,36,2021-03-16,613,11,9,3,25.56,0,0.5385,1,Default
LN1000047,Priya Rao,VZARL9669V,34,Female,Thane,Maharashtra,10th Pass,Self-Employed,28,2394757,2471686,Own,LN1000047,1059186,Medical Emergency,C,10.15,60,2024-04-12,734,18,4,0,24.4,0,0.4423,0,No Default
LN1000048,Sachin Rao,XJUCG7057Q,31,Male,Kochi,Kerala,Post-Graduate,Government Employee,1,415565,381521,Rented,LN1000048,141278,PERSONAL USE,D,8.36,12,2021-11-20,677,3,5,1,15.6,0,0.34,0,No Default
LN1000049,Pratik Joshi,ULBXF5919R,36,Male,Kolkata,West Bengal,Diploma,Salaried,1,560163,539821,Own,LN1000049,198246,Wedding Expenses,G,13.33,36,2020-07-28,508,8,5,0,36.26,0,0.3539,1,Default
LN1000050,Puja Krishnan,NQFQF6828X,43,Female,Pune,Maharashtra,,Salaried,84,284123,304621,Rented,LN1000050,949818,Travel,D,11.03,36,2020-07-08,675,14,4,2,18.79,2,3.343,1,Default
LN1000051,Sandeep Chaudhary,UQYTD4300Z,26,Male,Rajkot,Gujarat,10th Pass,Government Employee,44,493239,443178,Rented,LN1000051,739718,Personal Use,F,11.34,60,2022-02-17,619,6,4,3,17.34,1,1.4997,1,Default
LN1000052,Suresh Sharma,GBVXK4433D,28,Male,Kochi,Kerala,Post-Graduate,Retired,35,583128,786924,Own,LN1000052,280915,Credit Card Payoff,F,12.78,24,2020-07-17,595,15,11,4,28.64,1,0.4817,1,Default
LN1000053,Anjali Mukherjee,NQQTP7091Z,31,Female,Nagpur,Maharashtra,Illiterate,Unemployed,138,497278,352452,Own,LN1000053,658738,Home Renovation,D,11.08,72,2022-01-05,698,14,5,1,27.66,0,1.3247,0,No Default
LN1000054,Bhavna Pillai,RPHYJ8012X,21,Female,Coimbatore,Tamil Nadu,Professional Degree,Salaried,9,239949,226881,Company Provided,LN1000054,459939,Debt Consolidation,C,15.39,24,01 Oct 2024,732,7,12,2,26.93,1,1.9168,1,Default
LN1000055,Kavita Tiwari,KUOYD6977L,26,Female,Kolkata,West Bengal,Graduate,Self-Employed,14,500727,488589,Parental Home,LN1000055,1035290,Vehicle Purchase,C,11.19,36,2021-12-05,724,10,6,0,42,0,2.0676,1,Default
LN1000056,Aishwarya Bose,YAWDB5350G,30,Female,Delhi,Delhi,Graduate,Self-Employed,67,1063757,972019,Parental Home,LN1000056,381610,Home Renovation,F,12.56,24,2023-05-21,,15,7,0,36.19,0,0.3587,1,Default
LN1000057,Deepak Goel,TXIKQ5128G,43,Male,Bhopal,Madhya Pradesh,12th Pass,Salaried,71,579071,672269,Parental Home,LN1000057,742622,Travel,E,13.45,36,2021-06-25,625,10,6,1,30.68,1,1.2824,1,Default
LN1000058,Aditi Deshpande,CROBT9560V,37,F,Delhi,Delhi,10th Pass,Government Employee,24,787951,757643,Parental Home,LN1000058,2302275,Credit Card Payoff,D,14.93,60,2024-07-10,676,17,1,2,37.75,0,2.9219,1,Default
LN1000059,Seema Patil,BCSMI1616G,36,Female,Guwahati,Assam,Post-Graduate,Retired,144,383767,442508,Own,LN1000059,550547,Debt Consolidation,C,9.85,36,2020-03-29,,19,2,2,20.13,0,1.4346,0,No Default
LN1000060,Naresh Kumar,ILQHP5334A,43,Male,Indore,Madhya Pradesh,Post-Graduate,,133,693800,899822,Company Provided,LN1000060,374943,Medical Emergency,F,13.43,24,2024-02-03,611,17,7,0,36.58,0,0.5404,0,No Default
LN1000061,Disha Bhosale,IUSQH3634O,33,Female,Chandigarh,Punjab,10th Pass,Government Employee,0,523117,651585,Parental Home,LN1000061,600617,Wedding Expenses,E,14.3,12,2022-07-29,635,12,14,2,37.26,0,1.1482,0,No Default
LN1000062,Nitesh Gupta,JHOEP8815I,38,Male,Jaipur,Rajasthan,Graduate,Self-Employed,9,250059,271051,Mortgaged,LN1000062,280492,,F,9.44,24,2023-01-03,561,15,3,0,12.45,2,1.1217,1,Default
LN1000063,Hitesh Verma,TQSXW6857G,33,Male,Meerut,Uttar Pradesh,Post-Graduate,Contract/Freelance,82,535583,567863,Company Provided,LN1000063,1927197,Wedding Expenses,F,15.33,72,12/09/2020,554,12,12,0,49.94,0,3.5983,1,Default
LN1000064,Girish Shinde,XOOZM7327X,37,Male,Hyderabad,Telangana,12th Pass,,19,244014,291010,Mortgaged,LN1000064,410877,Agriculture,C,10.6,60,2022-02-14,715,9,10,2,21.78,0,1.6838,1,Default
LN1000065,Ashok Bhosale,WDNCJ0299V,29,Male,Chandigarh,Punjab,10th Pass,Salaried,4,302631,307791,Rented,LN1000065,299223,Personal Use,B,12.14,36,2020-06-10,758,5,11,3,36.35,0,0.9887,1,Default
LN1000066,Nikhil Malhotra,ENLEY6974L,21,Male,Lucknow,Uttar Pradesh,Post-Graduate,Government Employee,73,495635,489128,Own,LN1000066,201797,Education Fees,E,17.64,36,2023-02-04,644,4,13,3,52.47,0,0.4071,1,Default
LN1000067,Hitesh Malhotra,BTGGG6573O,33,Male,Mumbai,Maharashtra,Illiterate,Self-Employed,29,528789,481944,Own,LN1000067,780784,Personal Use,C,13.46,72,23-08-2021,730,12,2,0,48.89,0,1.4766,0,No Default
LN1000068,Disha Bose,WBQCZ6275S,49,Female,Pune,Maharashtra,Graduate,Salaried,32,216741,239776,Parental Home,LN1000068,664660,,D,10.58,48,2024-08-25,678,16,6,1,35.52,2,3.0666,1,Default
LN1000069,Harsh Shukla,EQJQV5395L,44,Male,Patna,Bihar,12th Pass,Self-Employed,9,832668,750739,Company Provided,LN1000069,255723,Personal Use,F,11.59,72,2023-07-11,598,9,11,0,29.56,2,0.3071,1,Default
LN1000070,Sandeep Mehta,VIUXA8425I,44,Male,Bhubaneswar,Odisha,10th Pass,Salaried,51,623562,594791,Company Provided,LN1000070,542268,Home Renovation,D,14.65,36,2023-06-20,678,3,4,3,49.21,0,0.8696,0,No Default
LN1000071,Kiran Verma,FEJSD2874P,47,Male,Jodhpur,Rajasthan,Illiterate,Contract/Freelance,38,289862,398735,Rented,LN1000071,125996,Vehicle Purchase,B,12.9,24,2024-12-18,773,3,12,2,45.12,0,0.4347,1,Default
LN1000072,Geeta Nair,MPQKG1515S,35,Female,Srinagar,Jammu & Kashmir,Illiterate,Government Employee,11,175860,204188,Company Provided,LN1000072,412288,DEBT CONSOLIDATION,E,11.86,60,2024-10-30,647,18,11,1,25.72,0,2.3444,1,Default
LN1000073,Siddharth Oberoi,DEXNK9687J,36,Male,Chandigarh,Punjab,12th Pass,Government Employee,19,405573,454457,Parental Home,LN1000073,497290,Business Expansion,B,10.63,48,2022-01-10,,17,5,2,23.08,0,1.2261,1,Default
LN1000074,Archana Deshpande,YFPMM2415Y,28,Female,Noida,Uttar Pradesh,Post-Graduate,Salaried,43,338552,322275,Own,LN1000074,1196762,Business Expansion,G,12.12,60,2023-03-28,440,10,6,1,3.91,0,3.5349,1,Default
LN1000075,Sangita Shinde,ERGSI4523D,31,Female,Delhi,Delhi,Post-Graduate,Unemployed,124,473489,556681,Own,LN1000075,211171,Debt Consolidation,C,12.74,24,2021-01-28,715,2,3,0,37.31,1,0.446,0,No Default
LN1000076,Mukesh Patel,ANXRV6195Z,41,Male,Noida,Uttar Pradesh,Diploma,Unemployed,,355802,322886,Parental Home,LN1000076,148027,Agriculture,E,11.65,48,2023-12-13,656,11,1,2,33.76,2,0.416,1,Default
LN1000077,Hitesh Jog,NTCRX5096N,47,Male,Jaipur,Rajasthan,10th Pass,Part-Time,16,150000,124681,Rented,LN1000077,193532,Credit Card Payoff,E,15.95,36,22-05-2020,,3,3,3,52.04,0,1.2902,1,Default
LN1000078,Ravi Menon,NJBNF8735X,33,Male,Meerut,Uttar Pradesh,Graduate,Salaried,63,350456,342433,Company Provided,LN1000078,142116,Vehicle Purchase,E,10.53,36,2020-04-03,657,2,3,0,40.39,0,0.4055,0,No Default
LN1000079,Hitesh Mittal,XVOLG7905R,30,Male,Patna,Bihar,Professional Degree,Retired,71,,325216,Mortgaged,LN1000079,923254,Education Fees,G,15.58,60,2023-09-16,490,9,6,1,55.01,0,2.5069,1,Default
LN1000080,Kiran Jain,KESUP1066K,35,Male,Gurgaon,Haryana,Graduate,Retired,79,647061,731025,Company Provided,LN1000080,1070940,Personal Use,E,9.85,48,2021-04-11,632,19,4,2,24.54,0,1.6551,1,Default
LN1000081,Rajesh Dubey,KCLPG5569M,41,Male,Indore,Madhya Pradesh,10th Pass,Salaried,40,291000,324432,Parental Home,LN1000081,453228,Home Renovation,D,12.16,48,2024-05-02,678,2,7,0,52.07,0,1.5575,0,No Default
LN1000082,Madhuri Hegde,TKUMJ5233W,21,F,Ahmedabad,Gujarat,Diploma,Salaried,0,1211300,1325426,Parental Home,LN1000082,851629,Business Expansion,B,13.5,84,2021-08-15,768,19,13,4,27.07,0,0.7031,0,No Default
LN1000083,Nitesh Yadav,KDWDF7915Z,21,Male,Jaipur,Rajasthan,Diploma,Part-Time,68,150000,172131,Rented,LN1000083,397826,Vehicle Purchase,F,15.71,60,2020-06-12,608,2,11,2,46.66,0,2.6522,1,Default
LN1000084,Deepak Yadav,IOSSE9001T,29,Male,Ahmedabad,Gujarat,10th Pass,Retired,5,,1108610,Own,LN1000084,338886,Vehicle Purchase,F,11.01,48,2024-10-17,585,15,2,1,13.12,0,0.3488,0,No Default
LN1000085,Pallavi Nair,LBFCA3965W,22,Female,Vadodara,Gujarat,Professional Degree,Unemployed,5,386701,370637,Rented,LN1000085,286895,,F,14.5,48,2021-04-21,609,3,12,1,38.53,0,0.7419,1,Default
LN1000086,Ashok Goel,ZBUEM0895G,29,Male,Rajkot,Gujarat,Diploma,Government Employee,44,740996,838801,Company Provided,LN1000086,291479,Vehicle Purchase,C,8.64,36,2024-11-09,723,5,4,1,5.23,0,0.3934,0,No Default
LN1000087,Harsh Mehta,APNGE0201I,33,Male,Nagpur,Maharashtra,Professional Degree,Part-Time,197,464111,513800,Own,LN1000087,122582,Consumer Durables,D,11.63,60,2020-07-25,676,11,8,1,30.99,0,0.2641,0,No Default
LN1000088,Alka Goel,UJKPN7002R,30,Female,Amritsar,Punjab,Post-Graduate,Part-Time,,876536,848131,Company Provided,LN1000088,435817,Vehicle Purchase,F,12.54,36,2022-02-17,607,7,11,0,41.61,0,0.4972,1,Default
LN1000089,Manish More,XJZHP1952N,49,Male,Ghaziabad,Uttar Pradesh,Illiterate,Government Employee,49,350663,352887,Mortgaged,LN1000089,352133,Home Renovation,D,12.78,60,2021-07-23,691,6,6,1,27.19,0,1.0042,0,No Default
LN1000090,Pratik Mishra,NONID5257I,38,Male,Aurangabad,Maharashtra,Post-Graduate,Retired,17,228851,271840,Parental Home,LN1000090,610328,Wedding Expenses,E,12.34,36,2022-07-17,,14,10,2,19.24,0,2.6669,1,Default
LN1000091,Naresh Chatterjee,SZOUT9445A,38,Male,Rajkot,Gujarat,Post-Graduate,Contract/Freelance,109,1037477,895018,Parental Home,LN1000091,386723,Debt Consolidation,C,14.87,24,2023-07-25,727,1,3,4,47.69,0,0.3728,0,No Default
LN1000092,Mona Bhatt,MGJUF7843R,41,Female,Kanpur,Uttar Pradesh,12th Pass,Government Employee,43,413292,458763,Mortgaged,LN1000092,323226,Education Fees,F,15.42,24,2024-09-04,593,17,10,4,33.45,2,0.7821,1,Default
LN1000093,Tarun Desai,AVGCR8094L,23,Male,Ludhiana,Punjab,Illiterate,Government Employee,11,505313,527420,Rented,LN1000093,196843,Credit Card Payoff,E,9.64,48,2022-01-17,623,17,12,2,27.66,0,0.3895,1,Default
LN1000094,Rahul Shah,FOETY1722I,45,Male,Patna,Bihar,12th Pass,Unemployed,14,928059,979828,Rented,LN1000094,380981,Vehicle Purchase,F,13.69,36,2020-11-29,618,14,2,1,35.63,0,0.4105,0,No Default
LN1000095,Kavya Krishnan,FFGQE1966T,34,Female,Surat,Gujarat,Professional Degree,Unemployed,27,238190,242341,Own,LN1000095,607292,Debt Consolidation,G,17.5,36,2022-01-28,532,10,3,0,74.55,0,2.5496,1,Default
LN1000096,Manish Pillai,AWYWJ3885I,41,Male,Amritsar,Punjab,Professional Degree,Retired,6,632410,710305,Mortgaged,LN1000096,162699,Home Renovation,D,17.72,48,2021-12-28,673,8,1,2,52.3,1,0.2573,1,Default
LN1000097,Aakash Desai,MZXHF5074R,24,Male,Lucknow,Uttar Pradesh,Professional Degree,Contract/Freelance,3,,255718,Parental Home,LN1000097,385089,Travel,E,16.21,12,2021-03-05,670,8,1,,52.44,0,1.2401,1,Default
LN1000098,Puja Banerjee,AJWUL1530V,21,Female,Meerut,Uttar Pradesh,,Retired,54,408684,448660,Mortgaged,LN1000098,426398,Travel,E,11.32,36,2023-10-04,650,14,2,1,41.53,0,1.0433,1,Default
LN1000099,Hemant Kumar,FPIPG5246L,43,Male,Vadodara,Gujarat,Graduate,Unemployed,25,462021,417068,Company Provided,LN1000099,219115,Travel,E,11.67,36,2021/06/30,N/A,7,14,0,37.5,0,0.4743,1,Default
LN1000100,Pankaj Das,ELKTJ4459V,38,Male,Nashik,Maharashtra,12th Pass,Self-Employed,62,179847,218467,Rented,LN1000100,240025,Agriculture,G,8.7,60,2023-12-08,536,6,3,0,0,0,1.3346,1,Default
LN1000101,Harsh Bansal,FCHGL3191Z,25,Male,Rajkot,Gujarat,Professional Degree,Retired,5,277256,240123,Rented,LN1000101,425673,Consumer Durables,F,12.7,48,2023-10-31,616,4,13,3,24.82,0,1.5353,1,Default
LN1000102,Archana Banerjee,AKDXQ5342S,26,Female,Indore,Madhya Pradesh,Illiterate,Contract/Freelance,45,99514500,697216,Mortgaged,LN1000102,163833,Personal Use,E,11.77,60,2023-08-20,622,1,9,,27.79,0,0.1646,1,Default
LN1000103,Abhilasha Banerjee,BCEFG8072L,46,Female,Nagpur,Maharashtra,10th Pass,Government Employee,28,752920,606296,Rented,LN1000103,462752,Business Expansion,F,10.59,36,2020-05-26,585,15,8,1,6.88,0,0.6146,0,No Default
LN1000104,Shreya Dixit,OYGAD8915U,23,Female,Raipur,Chhattisgarh,12th Pass,Government Employee,2,426094,448043,Company Provided,LN1000104,193542,Education Fees,E,,36,2023-06-01,637,15,12,1,17.64,2,0.4542,1,Default
LN1000105,Sapna Jadhav,NZHIN7406O,51,Female,Pune,Maharashtra,Illiterate,Government Employee,37,511894,423366,Mortgaged,LN1000105,762225,Education Fees,D,8,12,2023-07-24,682,1,11,0,5.29,0,1.489,1,Default
LN1000106,Lata Malhotra,QDEVI6580F,25,Female,Coimbatore,Tamil Nadu,12th Pass,Salaried,4,370813,320392,Own,LN1000106,1860729,Personal Use,A,12.43,84,2020-12-16,800,3,11,1,34.43,0,5.018,1,Default
LN1000107,Simran Bajaj,IIQSP3879X,41,Female,Jaipur,Rajasthan,Diploma,Contract/Freelance,84,998440,953853,Company Provided,LN1000107,198286,Wedding Expenses,E,16.02,36,2022-12-29,663,5,9,2,47.28,0,0.1986,0,No Default
LN1000108,Yash Chaudhary,PZKEA7697C,31,Male,Amritsar,Punjab,Illiterate,Part-Time,47,392302,446963,Own,LN1000108,526467,Travel,E,17.13,36,2024-02-02,670,5,7,4,51.6,0,1.342,1,Default
LN1000109,Madhuri Bajaj,FKCYM0759D,41,Female,Amritsar,Punjab,,Retired,39,508441,480415,Own,LN1000109,217788,Debt Consolidation,E,12.36,72,2021-05-16,644,4,7,0,41.22,0,0.4283,0,No Default
LN1000110,Geeta Desai,GERXI2261F,29,FEMALE,Ghaziabad,Uttar Pradesh,,Self-Employed,6,879947,905037,Parental Home,LN1000110,750629,Education Fees,G,10.9,36,2020-11-30,496,17,5,0,20.55,0,0.853,1,Default
