loan_id,applicant_name,pan_number,age,gender,city,state,education,employment_status,months_employed,employment_years,annual_income_inr,annual_income_stated_inr,property_ownership,loan_amount_inr,loan_purpose,loan_grade,interest_rate,loan_term_months,estimated_emi,application_date,app_year,app_month,app_quarter,credit_score,credit_tier,num_credit_lines,num_open_accounts,num_late_payments,dti_ratio,bankruptcies,loan_to_income_ratio,emi_to_income_ratio,monthly_income,income_discrepancy_pct,income_mismatch_flag,stable_employment,risk_score_raw,risk_category,high_risk_flag,ml_default_probability,ml_risk_flag,default_status,default_label
LN1000010,Sanjay Ghosh,YXKFS1751L,21.0,Male,Chandigarh,Punjab,12th Pass,Part-Time,79.0,6.6,448461.0,432337,Rented,347630,Vehicle Purchase,F,11.83,12,3426.0,2023-10-17,2023.0,10.0,4.0,612.0,Poor (600-649),14,11,1.0,30.68,0,0.7752,0.0917,37372.0,-3.6,0,1,3.11,Medium Risk,0,0.4835,0,0,No Default
LN1000011,Omkar Hegde,SUJQU6501A,27.0,Male,Kolkata,West Bengal,Graduate,Salaried,152.0,12.7,190358.0,196107,Own,495129,Home Renovation,F,14.38,48,5932.0,2024-02-25,2024.0,2.0,1.0,612.0,Poor (600-649),8,3,3.0,41.47,0,2.601,0.374,15863.0,3.02,0,1,4.78,Medium Risk,0,0.9779,1,1,Default
LN1000012,Kritika Yadav,BDLDG7260N,27.0,Female,Lucknow,Uttar Pradesh,12th Pass,Contract/Freelance,22.0,1.8,244997.0,211366,Parental Home,416535,Consumer Durables,E,13.51,24,4688.0,2023-01-21,2023.0,1.0,1.0,669.0,Fair (650-699),14,1,0.0,33.3,0,1.7002,0.2296,20416.0,-13.73,0,0,2.75,Low Risk,0,0.6939,1,0,No Default
LN1000013,Naresh Sharma,RRHPD8171D,25.0,Male,Coimbatore,Tamil Nadu,Post-Graduate,Government Employee,32.0,2.7,498424.0,593555,Rented,779124,Education Fees,G,14.78,60,9595.0,2020-06-27,2020.0,6.0,2.0,496.0,Very Poor (<600),3,11,2.0,34.16,1,1.5632,0.231,41535.0,19.09,0,1,5.28,High Risk,1,0.9899,1,1,Default
LN1000014,Pankaj Bhosale,UMPUV9341R,43.0,Male,Varanasi,Uttar Pradesh,Illiterate,Contract/Freelance,95.0,7.9,421915.0,465486,Parental Home,506511,Credit Card Payoff,G,14.49,48,6115.0,2023-04-24,2023.0,4.0,2.0,512.0,Very Poor (<600),16,7,3.0,29.34,0,1.2005,0.1739,35160.0,10.33,0,1,4.6,Medium Risk,1,0.929,1,1,Default
LN1000015,Vikas Malhotra,MFYIA6986E,33.0,Male,Nagpur,Maharashtra,10th Pass,,6.0,0.5,312551.0,324050,Mortgaged,198210,Vehicle Purchase,F,14.09,72,2326.0,2022-05-14,2022.0,5.0,2.0,605.0,Poor (600-649),15,11,0.0,55.17,0,0.6342,0.0893,26046.0,3.68,0,0,3.31,Medium Risk,1,0.596,0,1,Default
LN1000016,Jagdish Dubey,YUBSX6492B,32.0,Male,Noida,Uttar Pradesh,Graduate,Self-Employed,89.0,7.4,331538.0,402638,Parental Home,1664430,Vehicle Purchase,F,13.31,48,18460.0,2020-03-06,2020.0,3.0,1.0,568.0,Very Poor (<600),7,12,2.0,24.01,0,5.0203,0.6682,27628.0,21.45,1,1,4.34,Medium Risk,1,0.9995,1,1,Default
LN1000017,Rekha Desai,CEBHU3707B,21.0,Female,Thane,Maharashtra,Graduate,Government Employee,18.0,1.5,671789.0,635991,Company Provided,414999,Vehicle Purchase,D,10.29,36,3558.0,2020-03-02,2020.0,3.0,1.0,675.0,Fair (650-699),15,3,2.0,23.9,2,0.6178,0.0636,55982.0,-5.33,0,0,4.42,Medium Risk,1,0.8285,1,0,No Default
LN1000018,Radha Bajaj,ADQIX9273K,41.0,Female,Ludhiana,Punjab,12th Pass,Self-Employed,43.0,3.6,324287.0,398647,Rented,326720,Vehicle Purchase,F,18.3,24,4981.0,2020-07-10,2020.0,7.0,3.0,577.0,Very Poor (<600),13,7,2.0,35.03,0,1.0075,0.1843,27024.0,22.93,1,1,3.9,Medium Risk,1,0.9038,1,1,Default
LN1000019,Arjun Patel,EKZHK8767D,22.0,Male,Patna,Bihar,12th Pass,Retired,37.0,3.1,419636.0,554461,Mortgaged,711227,Credit Card Payoff,G,12.64,48,7491.0,2021-03-23,2021.0,3.0,1.0,537.0,Very Poor (<600),6,12,0.0,49.67,0,1.6949,0.2142,34970.0,32.13,1,1,3.92,Medium Risk,1,0.9329,1,1,Default
LN1000020,Radha Jain,DSZVC9454T,35.0,Male,Indore,Madhya Pradesh,Graduate,Part-Time,52.0,4.3,1626534.0,1799224,Own,431324,Travel,B,8.55,24,3072.0,2021-04-21,2021.0,4.0,2.0,767.0,Excellent (750+),15,2,1.0,0.0,0,0.2652,0.0227,135544.0,10.62,0,1,1.26,Low Risk,0,0.0178,0,0,No Default
LN1000021,Mahesh Tiwari,JJARV9191N,37.0,Male,Vadodara,Gujarat,Diploma,Contract/Freelance,64.0,5.3,188299.0,199395,Company Provided,479001,Home Renovation,E,10.84,60,4326.0,2022-10-31,2022.0,10.0,4.0,631.0,Poor (600-649),17,4,3.0,26.52,2,2.5438,0.2757,15692.0,5.89,0,1,5.78,High Risk,1,0.9964,1,1,Default
LN1000022,Kartik Sinha,LBRAW5772V,48.0,Male,Varanasi,Uttar Pradesh,Graduate,Self-Employed,27.0,2.2,433104.5,162787,Mortgaged,2073044,,E,10.75,36,18570.0,2023-05-17,2023.0,5.0,2.0,655.0,Fair (650-699),4,2,2.0,7.82,1,13.8203,0.5145,36092.0,-62.41,0,1,4.17,Medium Risk,1,1.0,1,1,Default
LN1000023,Gayatri Nair,WNRQL7466E,21.0,Female,Noida,Uttar Pradesh,10th Pass,Government Employee,105.0,8.8,707967.0,602927,Company Provided,298765,Home Renovation,G,11.59,48,2885.0,2020-02-24,2020.0,2.0,1.0,536.0,Very Poor (<600),14,4,0.0,20.74,0,0.422,0.0489,58997.0,-14.84,0,1,2.78,Low Risk,1,0.3406,0,0,No Default
LN1000024,Mukesh Hegde,VOZBQ1888C,21.0,Male,Agra,Uttar Pradesh,Illiterate,Self-Employed,79.0,6.6,294435.0,303424,Parental Home,289980,Home Renovation,F,8.0,48,1932.0,2023-02-23,2023.0,2.0,1.0,606.0,Poor (600-649),15,5,1.0,0.0,0,0.9849,0.0787,24536.0,3.05,0,1,2.44,Low Risk,0,0.3056,0,0,No Default
LN1000025,Mohan Chaudhary,TIIHN5380O,36.0,Male,Kochi,Kerala,12th Pass,Salaried,73.0,6.1,365513.0,500279,Parental Home,393015,Debt Consolidation,E,9.98,36,3268.0,2021-02-11,2021.0,2.0,1.0,658.0,Fair (650-699),12,14,1.0,32.95,0,1.0752,0.1073,30459.0,36.87,1,1,2.99,Low Risk,0,0.4902,0,0,No Default
LN1000026,Pallavi Malhotra,ULWLD4614R,53.0,Male,Srinagar,Jammu & Kashmir,Illiterate,Retired,29.0,2.4,276870.0,381729,Own,766861,Medical Emergency,F,10.86,60,6939.0,2024-01-06,2024.0,1.0,1.0,557.0,Very Poor (<600),19,8,1.0,17.87,0,2.7698,0.3008,23072.0,37.87,1,1,3.77,Medium Risk,1,0.9727,1,1,Default
LN1000027,Aakash Patel,OVUZQ8564K,47.0,Male,Bhopal,Madhya Pradesh,10th Pass,Part-Time,1.0,0.1,378556.0,406458,Company Provided,126175,Travel,D,13.07,36,1373.0,2023-08-23,2023.0,8.0,3.0,680.0,Fair (650-699),10,2,2.0,35.9,0,0.3333,0.0435,31546.0,7.37,0,0,3.09,Medium Risk,0,0.3282,0,0,No Default
LN1000028,Yogesh Singh,JBFLO6467D,37.0,Male,Gurgaon,Haryana,Professional Degree,Government Employee,32.0,2.7,1154436.0,1129382,Own,91501,Business Expansion,F,8.4,12,640.0,2023-12-07,2023.0,12.0,4.0,601.0,Poor (600-649),6,10,1.0,35.03,0,0.0793,0.0067,96203.0,-2.17,0,1,3.05,Medium Risk,0,0.1485,0,0,No Default
LN1000029,Vikas Nair,CRAJQ7531F,30.0,Male,Delhi,Delhi,,Part-Time,109.0,9.1,715886.0,869319,Rented,240150,Medical Emergency,E,12.02,84,2405.0,2023-01-21,2023.0,1.0,1.0,626.0,Poor (600-649),9,3,1.0,36.24,0,0.3355,0.0403,59657.0,21.43,1,1,3.02,Medium Risk,0,0.3062,0,0,No Default
LN1000030,Puja Oberoi,MVTKG1182Z,43.0,Female,Varanasi,Uttar Pradesh,Illiterate,Unemployed,32.0,2.7,742170.0,782715,Rented,115410,Education Fees,F,11.52,36,1107.0,2022-05-09,2022.0,5.0,2.0,653.0,Fair (650-699),2,10,2.0,28.78,0,0.1555,0.0179,61848.0,5.46,0,1,3.01,Medium Risk,0,0.2235,0,0,No Default
LN1000031,Anil Doshi,EITBQ6184S,25.0,Male,Pune,Maharashtra,Graduate,Retired,194.0,16.2,189143.0,227342,Rented,269040,Debt Consolidation,A,12.78,60,2864.0,2021-03-27,2021.0,3.0,1.0,798.0,Excellent (750+),4,12,0.0,57.53,1,1.4224,0.1817,15762.0,20.2,1,1,3.26,Medium Risk,1,0.6547,1,0,No Default
LN1000032,Rajesh Srinivasan,YDMNB9845F,39.0,Male,Rajkot,Gujarat,Diploma,Contract/Freelance,79.0,6.6,221750.0,210339,Mortgaged,514911,Business Expansion,E,14.05,36,6028.0,2022-07-08,2022.0,7.0,3.0,648.0,Poor (600-649),9,13,1.0,56.17,0,2.322,0.3262,18479.0,-5.15,0,1,4.05,Medium Risk,1,0.9449,1,1,Default
LN1000033,Bhavya Chopra,REVCR6384T,40.0,Female,Bhubaneswar,Odisha,Graduate,Self-Employed,59.0,4.9,150000.0,165877,Mortgaged,194167,Business Expansion,F,16.97,60,2745.0,2023-04-21,2023.0,4.0,2.0,565.0,Very Poor (<600),15,5,1.0,46.78,0,1.2944,0.2196,12500.0,10.58,0,1,3.96,Medium Risk,1,0.9113,1,1,Default
LN1000034,Bhavna Bansal,XTHZZ4147X,45.0,Female,Surat,Gujarat,Professional Degree,Contract/Freelance,54.0,4.5,272221.0,273805,Mortgaged,133415,Vehicle Purchase,C,12.68,24,1409.0,2021-07-23,2021.0,7.0,3.0,715.0,Good (700-749),13,11,2.0,30.1,0,0.4901,0.0621,22685.0,0.58,0,1,2.8,Low Risk,0,0.2751,0,0,No Default
LN1000035,Aakash Dixit,NVOIT5227V,62.0,Male,Vadodara,Gujarat,Professional Degree,Contract/Freelance,42.0,3.5,785457.0,831923,Own,380231,Consumer Durables,F,15.47,48,4901.0,2024-07-15,2024.0,7.0,3.0,552.0,Very Poor (<600),8,12,0.0,64.78,0,0.4841,0.0749,65455.0,5.92,0,1,3.81,Medium Risk,1,0.7209,1,1,Default
LN1000036,Kartik Srinivasan,IRZQY5631L,38.0,Male,Gurgaon,Haryana,Illiterate,Salaried,61.0,5.1,603298.0,587843,Company Provided,662503,Business Expansion,E,9.64,36,5321.0,2024-11-15,2024.0,11.0,4.0,666.0,Fair (650-699),19,12,3.0,11.7,0,1.0981,0.1058,50275.0,-2.56,0,1,3.22,Medium Risk,0,0.4868,0,0,No Default
LN1000037,Mahesh Banerjee,OPYSR8584A,29.0,Male,Chandigarh,Punjab,Illiterate,Contract/Freelance,26.0,2.2,387353.0,402482,Own,110582,Travel,G,10.53,36,969.0,2020-01-14,2020.0,1.0,1.0,493.0,Very Poor (<600),19,9,2.0,35.03,0,0.2855,0.03,32279.0,3.91,0,1,4.15,Medium Risk,1,0.6726,1,1,Default
LN1000038,Chetan Mehta,NADRF7122B,34.0,Male,Amritsar,Punjab,Professional Degree,Part-Time,89.0,7.4,436533.0,482556,Own,643168,Debt Consolidation,G,13.24,84,7095.0,2024-04-03,2024.0,4.0,2.0,543.0,Very Poor (<600),16,10,1.0,33.74,0,1.4734,0.195,36378.0,10.54,0,1,3.82,Medium Risk,1,0.8786,1,1,Default
LN1000039,Gita Tripathi,RHTAV1878X,21.0,Female,Bhopal,Madhya Pradesh,12th Pass,Retired,57.0,4.8,292631.0,340729,Parental Home,641852,Medical Emergency,E,18.93,24,10124.0,2024-07-08,2024.0,7.0,3.0,665.0,Fair (650-699),11,11,2.0,68.81,0,2.1934,0.4152,24386.0,16.44,0,1,4.62,Medium Risk,1,0.9771,1,1,Default
LN1000040,Suresh Bhat,QKNUS6034Z,28.0,Male,Jodhpur,Rajasthan,Illiterate,Salaried,70.0,5.8,500246.0,518211,Own,706345,Wedding Expenses,D,12.7,60,7474.0,2020-11-22,2020.0,11.0,4.0,709.0,Good (700-749),10,5,1.0,31.96,0,1.412,0.1793,41687.0,3.59,0,1,2.78,Low Risk,0,0.5489,0,1,Default
LN1000041,Jitendra Doshi,ZIOAG6788U,30.0,Male,Raipur,Chhattisgarh,Graduate,Self-Employed,75.0,6.2,700484.0,894884,Own,849952,Medical Emergency,E,11.6,36,8215.0,2023-11-30,2023.0,11.0,4.0,663.0,Fair (650-699),8,14,0.0,32.25,2,1.2134,0.1407,58374.0,27.75,1,1,4.09,Medium Risk,1,0.9274,1,1,Default
LN1000042,Shreya Bansal,SQTOP7921V,29.0,Female,Bhubaneswar,Odisha,Diploma,Salaried,4.0,0.3,167789.0,145469,Rented,1691979,Agriculture,E,8.98,36,12661.0,2022-05-15,2022.0,5.0,2.0,653.0,Fair (650-699),1,9,0.0,13.37,0,10.084,0.9055,13982.0,-13.3,0,0,2.78,Low Risk,0,1.0,1,1,Default
LN1000043,Bharat Chopra,BZTDB2218A,36.0,Male,Chennai,Tamil Nadu,10th Pass,Part-Time,32.0,2.7,529553.0,442478,Mortgaged,282302,Consumer Durables,E,15.05,36,3540.0,2021-11-27,2021.0,11.0,4.0,625.0,Poor (600-649),10,4,1.0,49.19,1,0.5331,0.0802,44129.0,-16.44,0,1,4.16,Medium Risk,1,0.8397,1,1,Default
LN1000044,Isha Gupta,ISEDI0966P,26.0,Female,Varanasi,Uttar Pradesh,12th Pass,Government Employee,77.0,6.4,774103.0,751626,Company Provided,391092,Education Fees,G,15.73,36,5126.0,2021-07-23,2021.0,7.0,3.0,531.0,Very Poor (<600),18,10,1.0,49.3,1,0.5052,0.0795,64509.0,-2.9,0,1,4.7,Medium Risk,1,0.9185,1,1,Default
LN1000045,Deepak Dubey,UOBSN9571R,46.0,Male,Pune,Maharashtra,Illiterate,Self-Employed,14.0,1.2,344875.0,366120,Parental Home,270626,Personal Use,F,16.17,36,3646.0,2020-11-14,2020.0,11.0,4.0,592.0,Very Poor (<600),3,5,3.0,46.84,0,0.7847,0.1269,28740.0,6.16,0,0,4.43,Medium Risk,1,0.8634,1,1,Default
LN1000046,Aakash Singh,NCFFI3275R,35.0,Male,Nashik,Maharashtra,Graduate,Unemployed,41.0,3.4,433104.5,878106,Parental Home,362719,Consumer Durables,F,13.06,36,3947.0,2021-03-16,2021.0,3.0,1.0,613.0,Poor (600-649),11,9,3.0,25.56,0,0.5385,0.1094,36092.0,102.75,1,1,3.69,Medium Risk,0,0.6326,1,1,Default
LN1000047,Priya Rao,VZARL9669V,34.0,Female,Thane,Maharashtra,10th Pass,Self-Employed,28.0,2.3,2394757.0,2471686,Own,1059186,Medical Emergency,C,10.15,60,8958.0,2024-04-12,2024.0,4.0,2.0,734.0,Good (700-749),18,4,0.0,24.4,0,0.4423,0.0449,199563.0,3.21,0,1,1.73,Low Risk,0,0.0434,0,0,No Default
LN1000048,Sachin Rao,XJUCG7057Q,31.0,Male,Kochi,Kerala,Post-Graduate,Government Employee,1.0,0.1,415565.0,381521,Rented,141278,Personal Use,D,8.36,12,983.0,2021-11-20,2021.0,11.0,4.0,677.0,Fair (650-699),3,5,1.0,15.6,0,0.34,0.0284,34630.0,-8.19,0,0,2.2,Low Risk,0,0.1045,0,0,No Default
LN1000049,Pratik Joshi,ULBXF5919R,36.0,Male,Kolkata,West Bengal,Diploma,Salaried,1.0,0.1,560163.0,539821,Own,198246,Wedding Expenses,G,13.33,36,2201.0,2020-07-28,2020.0,7.0,3.0,508.0,Very Poor (<600),8,5,0.0,36.26,0,0.3539,0.0472,46680.0,-3.63,0,0,3.31,Medium Risk,1,0.5748,0,1,Default
LN1000050,Puja Krishnan,NQFQF6828X,43.0,Female,Pune,Maharashtra,,Salaried,84.0,7.0,284123.0,304621,Rented,949818,Travel,D,11.03,36,8729.0,2020-07-08,2020.0,7.0,3.0,675.0,Fair (650-699),14,4,2.0,18.79,2,3.343,0.3687,23677.0,7.21,0,1,5.08,High Risk,1,0.9974,1,1,Default
LN1000051,Sandeep Chaudhary,UQYTD4300Z,26.0,Male,Rajkot,Gujarat,10th Pass,Government Employee,44.0,3.7,493239.0,443178,Rented,739718,Personal Use,F,11.34,60,6989.0,2022-02-17,2022.0,2.0,1.0,619.0,Poor (600-649),6,4,3.0,17.34,1,1.4997,0.17,41103.0,-10.15,0,1,4.52,Medium Risk,1,0.9412,1,1,Default
LN1000052,Suresh Sharma,GBVXK4433D,28.0,Male,Kochi,Kerala,Post-Graduate,Retired,35.0,2.9,583128.0,786924,Own,280915,Credit Card Payoff,F,12.78,24,2991.0,2020-07-17,2020.0,7.0,3.0,595.0,Very Poor (<600),15,11,4.0,28.64,1,0.4817,0.0616,48594.0,34.95,1,1,5.01,High Risk,1,0.9043,1,1,Default
LN1000053,Anjali Mukherjee,NQQTP7091Z,31.0,Female,Nagpur,Maharashtra,Illiterate,Unemployed,138.0,11.5,497278.0,352452,Own,658738,Home Renovation,D,11.08,72,6081.0,2022-01-05,2022.0,1.0,1.0,698.0,Fair (650-699),14,5,1.0,27.66,0,1.3247,0.1467,41440.0,-29.12,0,1,2.71,Low Risk,0,0.4164,0,0,No Default
LN1000054,Bhavna Pillai,RPHYJ8012X,21.0,Female,Coimbatore,Tamil Nadu,Professional Degree,Salaried,9.0,0.8,239949.0,226881,Company Provided,459939,Debt Consolidation,C,15.39,24,5898.0,,,,,732.0,Good (700-749),7,12,2.0,26.93,1,1.9168,0.295,19996.0,-5.45,0,0,3.84,Medium Risk,1,0.9322,1,1,Default
LN1000055,Kavita Tiwari,KUOYD6977L,26.0,Female,Kolkata,West Bengal,Graduate,Self-Employed,14.0,1.2,500727.0,488589,Parental Home,1035290,Vehicle Purchase,C,11.19,36,9653.0,2021-12-05,2021.0,12.0,4.0,724.0,Good (700-749),10,6,0.0,42.0,0,2.0676,0.2313,41727.0,-2.42,0,0,2.77,Low Risk,0,0.702,1,1,Default
LN1000056,Aishwarya Bose,YAWDB5350G,30.0,Female,Delhi,Delhi,Graduate,Self-Employed,67.0,5.6,1063757.0,972019,Parental Home,381610,Home Renovation,F,12.56,24,3993.0,2023-05-21,2023.0,5.0,2.0,653.0,Fair (650-699),15,7,0.0,36.19,0,0.3587,0.045,88646.0,-8.62,0,1,2.47,Low Risk,0,0.1852,0,1,Default
LN1000057,Deepak Goel,TXIKQ5128G,43.0,Male,Bhopal,Madhya Pradesh,12th Pass,Salaried,71.0,5.9,579071.0,672269,Parental Home,742622,Travel,E,13.45,36,8323.0,2021-06-25,2021.0,6.0,2.0,625.0,Poor (600-649),10,6,1.0,30.68,1,1.2824,0.1725,48256.0,16.09,0,1,3.95,Medium Risk,1,0.8965,1,1,Default
LN1000058,Aditi Deshpande,CROBT9560V,37.0,Female,Delhi,Delhi,10th Pass,Government Employee,24.0,2.0,787951.0,757643,Parental Home,2302275,Credit Card Payoff,D,14.93,60,28643.0,2024-07-10,2024.0,7.0,3.0,676.0,Fair (650-699),17,1,2.0,37.75,0,2.9219,0.4362,65663.0,-3.85,0,1,4.02,Medium Risk,0,0.9828,1,1,Default
LN1000059,Seema Patil,BCSMI1616G,36.0,Female,Guwahati,Assam,Post-Graduate,Retired,144.0,12.0,383767.0,442508,Own,550547,Debt Consolidation,C,9.85,36,4518.0,2020-03-29,2020.0,3.0,1.0,653.0,Fair (650-699),19,2,2.0,20.13,0,1.4346,0.1413,31981.0,15.31,0,1,3.22,Medium Risk,0,0.5707,0,0,No Default
LN1000060,Naresh Kumar,ILQHP5334A,43.0,Male,Indore,Madhya Pradesh,Post-Graduate,,133.0,11.1,693800.0,899822,Company Provided,374943,Medical Emergency,F,13.43,24,4195.0,2024-02-03,2024.0,2.0,1.0,611.0,Poor (600-649),17,7,0.0,36.58,0,0.5404,0.0726,57817.0,29.69,1,1,2.78,Low Risk,0,0.3764,0,0,No Default
LN1000061,Disha Bhosale,IUSQH3634O,33.0,Female,Chandigarh,Punjab,10th Pass,Government Employee,0.0,0.0,523117.0,651585,Parental Home,600617,Wedding Expenses,E,14.3,12,7156.0,2022-07-29,2022.0,7.0,3.0,635.0,Poor (600-649),12,14,2.0,37.26,0,1.1482,0.1642,43593.0,24.56,1,0,3.66,Medium Risk,0,0.7977,1,0,No Default
LN1000062,Nitesh Gupta,JHOEP8815I,38.0,Male,Jaipur,Rajasthan,Graduate,Self-Employed,9.0,0.8,250059.0,271051,Mortgaged,280492,,F,9.44,24,2206.0,2023-01-03,2023.0,1.0,1.0,561.0,Very Poor (<600),15,3,0.0,12.45,2,1.1217,0.1059,20838.0,8.39,0,0,4.16,Medium Risk,1,0.9312,1,1,Default
LN1000063,Hitesh Verma,TQSXW6857G,33.0,Male,Meerut,Uttar Pradesh,Post-Graduate,Contract/Freelance,82.0,6.8,535583.0,567863,Company Provided,1927197,Wedding Expenses,F,15.33,72,24619.0,,,,,554.0,Very Poor (<600),12,12,0.0,49.94,0,3.5983,0.5516,44632.0,6.03,0,1,4.27,Medium Risk,1,0.9965,1,1,Default
LN1000064,Girish Shinde,XOOZM7327X,37.0,Male,Hyderabad,Telangana,12th Pass,,19.0,1.6,244014.0,291010,Mortgaged,410877,Agriculture,C,10.6,60,3628.0,2022-02-14,2022.0,2.0,1.0,715.0,Good (700-749),9,10,2.0,21.78,0,1.6838,0.1784,20334.0,19.26,0,0,2.98,Low Risk,0,0.6023,1,1,Default
LN1000065,Ashok Bhosale,WDNCJ0299V,29.0,Male,Chandigarh,Punjab,10th Pass,Salaried,4.0,0.3,302631.0,307791,Rented,299223,Personal Use,B,12.14,36,3026.0,2020-06-10,2020.0,6.0,2.0,758.0,Excellent (750+),5,11,3.0,36.35,0,0.9887,0.12,25219.0,1.71,0,0,3.27,Medium Risk,0,0.4479,0,1,Default
LN1000066,Nikhil Malhotra,ENLEY6974L,21.0,Male,Lucknow,Uttar Pradesh,Post-Graduate,Government Employee,73.0,6.1,495635.0,489128,Own,201797,Education Fees,E,17.64,36,2965.0,2023-02-04,2023.0,2.0,1.0,644.0,Poor (600-649),4,13,3.0,52.47,0,0.4071,0.0718,41303.0,-1.31,0,1,4.14,Medium Risk,1,0.7297,1,1,Default
LN1000067,Hitesh Malhotra,BTGGG6573O,33.0,Male,Mumbai,Maharashtra,Illiterate,Self-Employed,29.0,2.4,528789.0,481944,Own,780784,Personal Use,C,13.46,72,8757.0,,,,,730.0,Good (700-749),12,2,0.0,48.89,0,1.4766,0.1987,44066.0,-8.86,0,1,2.71,Low Risk,0,0.5843,0,0,No Default
LN1000068,Disha Bose,WBQCZ6275S,49.0,Female,Pune,Maharashtra,Graduate,Salaried,32.0,2.7,216741.0,239776,Parental Home,664660,,D,10.58,48,5859.0,2024-08-25,2024.0,8.0,3.0,678.0,Fair (650-699),16,6,1.0,35.52,2,3.0666,0.3244,18062.0,10.63,0,1,5.08,High Risk,1,0.9962,1,1,Default
